id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best_est,high_est,low_est
28763,IRQ-2012-3-1076-85,2012,True,Clear,3,1076,506,IS - Civilians,1076,973,IS - Civilians,1076,234,IS,9999,1,Civilians,-1,"Agence France Presse, 2012-12-17,  Wave of Iraq attacks kills 48 people",,,,Officials,1,Ar Ruţbah town,Ar Ruţbah town,Al Anbār province,Qaḑā’ ar Ruţbah,33.037183,40.285862,POINT (40.285862 33.037183),177561,Iraq,645,Middle East,1,1,12/17/2012 00:00:00,12/17/2012 00:00:00,0,0,2,0,2,2,2,
28767,IRQ-2012-3-1076-19,2012,True,Clear,3,1076,506,IS - Civilians,1076,973,IS - Civilians,1076,234,IS,9999,1,Civilians,-1,"Reuters news, 2012-03-19, Spate of bombs hits Iraq province north of Baghdad",,,,Reuters,1,Ba‘qūbah town,Ba‘qūbah town,Diyālá province,Qaḑā’ Ba‘qūbah,33.746595,44.643663,POINT (44.643663 33.746595),178290,Iraq,645,Middle East,1,1,03/20/2012 00:00:00,03/20/2012 00:00:00,0,0,1,0,1,1,1,
28768,IRQ-2012-3-1076-50.6,2012,True,Clear,3,1076,506,IS - Civilians,1076,973,IS - Civilians,1076,234,IS,9999,1,Civilians,-1,"Agence France Presse, 2012-08-17, Deadly Iraq attacks overshadow Eid preparations",,,,Security and medical officials,1,Tājī town,Tājī town,Baghdād province,Tājī district,33.529444,44.277500,POINT (44.277500 33.529444),178289,Iraq,645,Middle East,1,1,08/16/2012 00:00:00,08/16/2012 00:00:00,0,0,1,0,1,1,1,
28769,IRQ-2012-3-1076-86,2012,True,Clear,3,1076,506,IS - Civilians,1076,973,IS - Civilians,1076,234,IS,9999,1,Civilians,-1,"Agence France Presse, 2012-12-17,  Wave of Iraq attacks kills 48 people",,,,Officials,1,Dujail town,Dujail town,Şalāḩ ad Dīn province,Qaḑā’ Balad,33.846667,44.234440,POINT (44.234440 33.846667),178289,Iraq,645,Middle East,1,1,12/17/2012 00:00:00,12/17/2012 00:00:00,0,0,1,0,1,1,1,
28783,IRQ-2012-3-1076-50.7,2012,True,Clear,3,1076,506,IS - Civilians,1076,973,IS - Civilians,1076,234,IS,9999,1,Civilians,-1,"Agence France Presse, 2012-08-17, Deadly Iraq attacks overshadow Eid preparations",,,,Security and medical officials,1,Khāliş town,Khāliş town,Diyālá province,Qaḑā’ al Khāliş,33.808094,44.533435,POINT (44.533435 33.808094),178290,Iraq,645,Middle East,1,1,08/16/2012 00:00:00,08/16/2012 00:00:00,0,0,1,0,1,1,1,
28786,IRQ-2012-3-1076-87,2012,True,Clear,3,1076,506,IS - Civilians,1076,973,IS - Civilians,1076,234,IS,9999,1,Civilians,-1,"Agence France Presse, 2012-12-17,  Wave of Iraq attacks kills 48 people",,,,Officials,1,Ţūzkhūrmātū town,Ţūzkhūrmātū town,Şalāḩ ad Dīn province,Tooz district,34.888083,44.632564,POINT (44.632564 34.888083),179730,Iraq,645,Middle East,1,1,12/17/2012 00:00:00,12/17/2012 00:00:00,0,0,5,0,5,5,5,
28787,IRQ-2012-3-1076-88,2012,True,Clear,3,1076,506,IS - Civilians,1076,973,IS - Civilians,1076,234,IS,9999,1,Civilians,-1,"Agence France Presse, 2012-12-31,  23 killed in wave of Iraq attacks",,,,Officials,1,Al Musayyib town,Al Musayyib town,Bābil province,Qaḑā’ al Musayyib,32.783959,44.276615,POINT (44.276615 32.783959),176849,Iraq,645,Middle East,1,1,12/31/2012 00:00:00,12/31/2012 00:00:00,0,0,7,0,7,7,7,
28793,IRQ-2012-3-1076-20,2012,True,Clear,3,1076,506,IS - Civilians,1076,973,IS - Civilians,1076,234,IS,9999,1,Civilians,-1,"Agence France Presse, 2012-04-19, Iraq attacks kill at least 38",,,,Police,4,Kirkūk province,Kirkuk province (40 km south of Kirkuk town),Kirkūk province,,35.250000,44.166667,POINT (44.166667 35.250000),180449,Iraq,645,Middle East,1,1,04/19/2012 00:00:00,04/19/2012 00:00:00,0,0,1,0,1,1,1,
28797,IRQ-2012-3-1076-36,2012,True,Clear,3,1076,506,IS - Civilians,1076,973,IS - Civilians,1076,234,IS,9999,1,Civilians,-1,"Agence France Presse, 2012-07-23, 111 killed in Iraq's deadliest day in two years",,,,Officials,1,Tārmīya town,Tārmīya town,Baghdād province,,33.674444,44.395833,POINT (44.395833 33.674444),178289,Iraq,645,Middle East,1,1,07/23/2012 00:00:00,07/23/2012 00:00:00,0,0,1,0,1,1,1,
28798,IRQ-2012-3-1076-51,2012,True,Clear,3,1076,506,IS - Civilians,1076,973,IS - Civilians,1076,234,IS,9999,1,Civilians,-1,"Agence France Presse, 2012-09-09, Wave of attacks kills 88 in Iraq",,,,A security official,1,Alī ash Sharqī village,Alī ash Sharqī village,Maysān  province,Qaḑā’ ‘Alī al Gharbī,32.122869,46.749281,POINT (46.749281 32.122869),176134,Iraq,645,Middle East,1,1,09/09/2012 00:00:00,09/09/2012 00:00:00,0,0,14,0,14,14,14,
